image_id,x1,y1,x2,y2,label
image_1.png,42,314,217,497,lock_0076
image_1.png,507,47,620,198,Turtle_0090
image_1.png,326,451,429,532,sheep_0087
image_1.png,103,619,267,699,dhakiya_0031
image_1.png,167,107,282,183,mother_0072
image_1.png,377,323,506,451,farmer_0018
image_1.png,608,192,682,284,rooster_0009
image_1.png,328,37,444,236,star_0051
image_1.png,48,158,153,330,mother_0004
image_1.png,282,541,442,693,wooden_wheel_0081
image_1.png,497,326,675,517,mother_0058
image_1.png,498,566,608,642,lock_0080
image_1.png,147,181,279,286,karuwa_0028
image_1.png,259,323,345,449,ladder_0063
image_1.png,56,24,141,114,karuwa_0016
image_1.png,98,492,276,567,cycle_0076
image_1.png,37,484,108,606,dhaka_topi_0053
image_1.png,465,244,619,322,wooden_wheel_0075
image_2.png,295,445,383,550,sheep_0057
image_2.png,240,220,413,356,Turtle_0001
image_2.png,132,503,304,650,torch_light_0054
image_2.png,37,513,134,655,umbrella_0059
image_2.png,408,8,560,129,loud_speaker_0040
image_2.png,449,265,580,343,loud_speaker_0006
image_2.png,47,331,189,449,dhakiya_0078
image_2.png,396,124,525,196,stick_0071
image_2.png,322,520,426,698,karuwa_0055
image_2.png,458,526,648,655,cycle_0049
image_2.png,544,325,693,421,umbrella_0068
image_2.png,377,430,500,542,Shankha_0060
image_2.png,25,43,164,222,star_0061
image_2.png,222,5,404,185,Shankha_0078
image_2.png,566,3,665,190,Turtle_0024
image_2.png,260,381,379,455,heart_0091
image_2.png,562,188,634,285,water_jug_0048
image_3.png,423,568,549,689,torch_light_0065
image_3.png,446,309,608,464,taraju_0036
image_3.png,540,513,613,631,Shankha_0068
image_3.png,89,222,234,410,tiger_0022
image_3.png,301,15,395,166,dhakiya_0060
image_3.png,316,148,472,267,mother_0007
image_3.png,42,124,145,239,mother_0001
image_3.png,62,398,155,550,rooster_0008
image_3.png,266,399,455,508,heart_0079
image_3.png,559,49,672,159,umbrella_0069
image_3.png,79,543,272,679,tiger_0007
image_3.png,389,2,496,113,ladder_0030
image_3.png,255,246,354,376,farmer_0043
image_3.png,537,214,615,309,sheep_0076
image_3.png,291,527,377,618,computer_0064
image_3.png,60,34,250,126,umbrella_0070
image_3.png,484,111,571,189,umbrella_0064
image_3.png,197,126,286,239,mother_0026
image_4.png,504,337,578,495,mother_0049
image_4.png,142,350,322,471,Shankha_0055
image_4.png,322,23,418,186,dhaka_topi_0076
image_4.png,493,100,578,206,mother_0042
image_4.png,554,138,681,279,umbrella_0127
image_4.png,435,559,587,686,star_0043
image_4.png,174,498,308,687,star_0030
image_4.png,297,291,458,441,wooden_wheel_0015
image_4.png,577,376,696,467,loud_speaker_0024
image_4.png,112,11,298,100,taraju_0041
image_4.png,83,151,229,244,sheep_0104
image_4.png,387,433,487,519,umbrella_0068
image_4.png,48,375,152,501,dhakiya_0036
image_4.png,265,163,355,272,heart_0003
image_4.png,14,219,147,395,heart_0119
image_4.png,417,100,504,300,owl_0068
image_4.png,436,6,560,119,ladder_0083
image_4.png,1,58,94,205,mother_0013
