image_id,symbol,label,x1,y1,x2,y2
valid_0001.jpg,symbol,wooden_wheel,230,1580,419,1769
valid_0001.jpg,symbol,mother,608,1580,797,1769
valid_0001.jpg,symbol,Shankha,986,1580,1175,1769
valid_0001.jpg,symbol,loud_speaker,1364,1580,1553,1769
valid_0001.jpg,symbol,umbrella,1742,1580,1931,1769
valid_0001.jpg,symbol,House,2120,1580,2309,1769
valid_0001.jpg,symbol,madal,230,1769,419,1958
valid_0001.jpg,symbol,loud_speaker,608,1769,797,1958
valid_0001.jpg,symbol,dhaka_topi,986,1769,1175,1958
valid_0001.jpg,symbol,wooden_wheel,1364,1769,1553,1958
valid_0001.jpg,symbol,Shankha,1742,1769,1931,1958
valid_0001.jpg,symbol,loud_speaker,2120,1769,2309,1958
valid_0001.jpg,symbol,star,230,1958,419,2147
valid_0001.jpg,symbol,key,608,1958,797,2147
valid_0001.jpg,symbol,key,986,1958,1175,2147
valid_0001.jpg,symbol,dhaka_topi,1364,1958,1553,2147
valid_0001.jpg,symbol,computer,1742,1958,1931,2147
valid_0001.jpg,symbol,umbrella,2120,1958,2309,2147
valid_0001.jpg,symbol,dhaka_topi,230,2147,419,2336
valid_0001.jpg,symbol,wooden_wheel,608,2147,797,2336
valid_0001.jpg,symbol,dog,986,2147,1175,2336
valid_0001.jpg,symbol,farmer,1364,2147,1553,2336
valid_0001.jpg,symbol,taraju,1742,2147,1931,2336
valid_0001.jpg,symbol,umbrella,2120,2147,2309,2336
valid_0001.jpg,symbol,farmer,230,2336,419,2525
valid_0001.jpg,symbol,ladder,608,2336,797,2525
valid_0001.jpg,symbol,Water_Glass,986,2336,1175,2525
valid_0001.jpg,symbol,hammer_hasiya,1364,2336,1553,2525
valid_0001.jpg,symbol,karuwa,1742,2336,1931,2525
valid_0001.jpg,symbol,cycle,2120,2336,2309,2525
valid_0001.jpg,symbol,dhaka_topi,230,2525,419,2714
valid_0001.jpg,symbol,cycle,608,2525,797,2714
valid_0001.jpg,symbol,hand_palm,986,2525,1175,2714
valid_0001.jpg,symbol,bus,1364,2525,1553,2714
valid_0001.jpg,symbol,tree,1742,2525,1931,2714
valid_0001.jpg,symbol,dhaka_topi,2120,2525,2309,2714
valid_0001.jpg,symbol,wooden_wheel,230,2714,419,2903
valid_0001.jpg,symbol,dhaka_topi,608,2714,797,2903
valid_0001.jpg,symbol,dog,986,2714,1175,2903
valid_0001.jpg,symbol,star,1364,2714,1553,2903
valid_0001.jpg,symbol,tree,1742,2714,1931,2903
valid_0001.jpg,symbol,umbrella,2120,2714,2309,2903
valid_0001.jpg,symbol,wooden_wheel,230,2903,419,3092
valid_0001.jpg,symbol,star,608,2903,797,3092
valid_0001.jpg,symbol,damphu,986,2903,1175,3092
valid_0001.jpg,symbol,stick,1364,2903,1553,3092
valid_0001.jpg,symbol,cycle,1742,2903,1931,3092
valid_0001.jpg,symbol,bus,2120,2903,2309,3092
