image_id,x1,y1,x2,y2,label
image_1.png,209,130,434,337,water_jug
image_1.png,103,298,319,499,star
image_1.png,11,469,208,679,rooster
image_1.png,500,339,692,578,tiger
image_1.png,288,350,521,565,umbrella
image_1.png,416,89,665,315,lock
image_1.png,10,51,214,277,heart
image_2.png,388,95,630,332,star
image_2.png,428,431,658,675,nepali_jug
image_2.png,155,239,390,434,nepali_jug
image_2.png,193,475,440,676,nepali_basket
image_2.png,4,103,202,334,ladder
image_2.png,22,404,215,597,wooden_wheel
image_2.png,191,23,401,241,wooden_wheel
image_3.png,203,319,422,517,owl
image_3.png,128,25,360,232,cycle
image_3.png,495,430,697,657,star
image_3.png,387,24,606,244,umbrella
image_3.png,2,425,220,621,farmer
image_3.png,406,229,633,468,cycle
image_3.png,14,181,225,416,loud_speaker
image_3.png,303,499,498,693,lock
image_4.png,298,86,504,300,water_jug
image_4.png,12,390,245,620,tiger
image_4.png,377,474,591,675,Turtle
image_4.png,270,286,466,527,balance
image_4.png,447,214,667,457,lock
image_4.png,119,73,319,296,computer
image_5.png,10,46,237,267,lock
image_5.png,489,507,684,696,computer
image_5.png,224,412,420,662,stamp
image_5.png,332,64,580,258,umbrella
image_5.png,507,309,696,507,torch_light
image_5.png,1,392,219,639,ladder
image_5.png,193,209,422,408,mother
image_6.png,121,409,344,625,nepali_cap
image_6.png,322,265,525,493,farmer
image_6.png,298,9,533,210,umbrella
image_6.png,486,396,675,628,loud_speaker
image_6.png,6,68,200,297,ladder
image_7.png,337,292,539,534,cycle
image_7.png,192,11,416,228,torch_light
image_7.png,440,116,689,339,rooster
image_7.png,131,243,354,486,sheep
image_7.png,26,452,253,699,sheep
image_7.png,22,48,211,281,loud_speaker
image_7.png,475,476,676,684,stamp
image_8.png,450,12,685,252,farmer
image_8.png,169,147,369,347,heart
image_8.png,227,447,432,637,balance
image_8.png,431,408,626,616,loud_speaker
image_8.png,14,469,241,682,heart
image_8.png,386,229,633,429,umbrella
image_8.png,19,11,211,257,stick
image_8.png,2,246,199,465,stamp
image_9.png,416,428,620,631,stick
image_9.png,417,39,630,272,torch_light
image_9.png,101,462,314,675,ladder
image_9.png,220,269,466,473,star
image_9.png,141,3,379,215,umbrella
image_9.png,26,186,221,386,Turtle
image_10.png,209,42,436,257,star
image_10.png,197,299,447,513,conch
image_10.png,442,201,673,435,computer
image_10.png,20,337,222,576,stamp
image_10.png,8,117,239,308,mother_and_child
image_10.png,377,470,602,661,wooden_wheel
image_10.png,414,12,657,210,tiger
image_11.png,327,121,573,360,computer
image_11.png,44,138,267,353,star
image_11.png,398,339,647,539,stick
image_11.png,177,478,425,675,sheep
image_11.png,15,350,214,551,sheep
image_12.png,188,307,398,525,stamp
image_12.png,345,64,565,297,conch
image_12.png,22,444,240,672,tiger
image_12.png,315,488,520,693,star
image_12.png,409,286,646,508,nepali_cap
image_12.png,67,23,260,226,tiger
image_12.png,18,204,213,452,owl
image_13.png,172,290,418,498,balance
image_13.png,412,60,604,289,rooster
image_13.png,84,9,301,225,nepali_jug
image_13.png,319,461,511,697,tiger
image_13.png,449,289,692,510,water_jug
image_13.png,58,472,247,682,owl
image_13.png,11,187,200,433,mother
image_14.png,113,34,351,277,rooster
image_14.png,29,325,263,539,stick
image_14.png,354,351,548,595,heart
image_14.png,407,102,599,318,nepali_basket
image_15.png,470,37,692,248,computer
image_15.png,270,109,471,306,owl
image_15.png,69,191,277,394,nepali_cap
image_15.png,415,384,606,607,umbrella
image_15.png,131,420,360,649,owl
image_15.png,0,17,195,208,rooster
image_16.png,481,212,700,453,tree
image_16.png,367,486,589,676,nepali_jug
image_16.png,206,323,400,551,owl
image_16.png,110,129,360,337,nepali_cap
image_16.png,342,34,536,261,water_jug
image_16.png,17,408,213,636,mother
image_17.png,465,268,689,481,computer
image_17.png,69,203,313,399,conch
image_17.png,299,389,503,628,tiger
image_17.png,18,488,215,679,rooster
image_17.png,305,56,518,260,heart
image_17.png,499,42,697,261,nepali_basket
image_17.png,45,7,255,206,heart
image_17.png,472,504,679,699,nepali_jug
image_18.png,213,382,446,613,nepali_cap
image_18.png,356,176,601,385,heart
image_18.png,87,148,330,352,mother
image_18.png,30,424,225,658,water_jug
image_18.png,491,446,689,653,lock
image_18.png,258,1,457,198,owl
image_19.png,68,460,262,652,cycle
image_19.png,208,179,452,390,rooster
image_19.png,375,347,568,536,heart
image_19.png,20,97,238,310,star
image_19.png,427,50,630,272,owl
image_20.png,234,413,470,638,umbrella
image_20.png,391,48,634,268,water_jug
image_20.png,83,54,294,246,sheep
image_20.png,46,453,255,650,rooster
image_20.png,459,335,687,536,nepali_basket
image_20.png,190,222,420,421,owl
image_21.png,377,52,624,257,rooster
image_21.png,165,205,355,450,cycle
image_21.png,317,340,534,554,balance
image_21.png,1,378,241,627,lock
image_21.png,131,14,340,207,Turtle
image_22.png,54,430,291,643,umbrella
image_22.png,130,72,352,282,wooden_wheel
image_22.png,346,401,574,647,star
image_22.png,404,159,635,382,rooster
image_22.png,22,252,218,442,ladder
image_23.png,25,279,265,491,Turtle
image_23.png,489,101,687,311,ladder
